name,name_kana,site_url,catchphrase,description,area,postcode,address,tel,contact,business_hours,regular_holiday/business_holiday,fee,offical_url,access,parking_lot,barrier_free,kankonavi,memo,lat,lng
皆鶴姫の碑,ミナヅルヒメノヒ,https://www.aizukanko.com/spot/163,源義経と皆鶴姫の悲恋を今に伝えます・・・,市内河東町藤倉集落の東に、源義経と皆鶴姫の悲恋物語を伝える碑があります。平家打倒を願う義経は、鬼一法眼の兵法書を学ぶために、義理の娘皆鶴姫に近づき恋仲になり、義経は兵法書をひそかに写し取ることに成功しますが、平清盛に気づかれ奥州へ逃げます。姫は、義経の後を慕って藤倉まで来ますが、追いつけないと知り、難波池に身を投げてしまいます。義経は、磐梯町の大寺でこれを知り姫を池のほとりに葬って墓を築いたとされます。義経に再会できず空しいままなくなった皆鶴姫は、他の人にはこのような別離の気持ちを味合わせたくないとして、参詣する人に良縁を授けると今日でも信じられています。,河東町エリア（会津の高野山・日新館）,,福島県会津若松市河東町倉橋字藤倉 (集落の東側),0242-75-2127,河東公民館,,,,,磐越自動車道　会津若松ＩＣより車で10分 ,,,,,37.533212,139.935694
田村山古墳,タムラヤマコフン,https://www.aizukanko.com/spot/165,「古事記」に掲載された東北唯−の地名。多くの謎を秘めています！,田村山古墳は全長24.85m、高さ2.15m程の前方後円墳です。1200年以上前に築かれ、東北では珍しい内行花文鏡、直刀などが出土しました。直刀は、県の重要文化財に指定されています。「古事記」に掲載された東北唯−の地名で、四道将軍伝説や坂上田村麻呂にまつわる伝説など、多くの謎を秘めています。,北会津町エリア（フルーツランド）,,福島県会津若松市北会津町田村山字塚越,0242-58-2211,会津若松市役所北会津支所,,,,,会津若松駅から車で20分磐越自動車道新鶴スマートICより5分,,,,,37.521504,139.861751
延命寺地蔵堂,エンメイジジゾウドウ,https://www.aizukanko.com/spot/159,徳一大師が建てたと伝えられる国指定重要文化財・建造物 ,市内河東町の西南・藤倉集落にあり、この建物の屋根は唐様の重層建築で周囲に円柱で支えた裳階がつけられ二階建てのように見えるため、「藤倉二階堂」と親しまれています。徳一大師が建てたと伝えられて現在の建造物は、室町初期から中期の作といわれています。 昭和２５年国指定重要文化財・建造物に指定。,中心市街地エリア（会津若松駅・鶴ヶ城）,969-3463,福島県会津若松市河東町倉橋字藤倉160-2,0242-75-2304,,,,,,磐越自動車道　会津若松ICから車で５分,,,,境内拝観自由,37.53385,139.931982
蒲生秀行廟,ガモウヒデユキビョウ,https://www.aizukanko.com/spot/35,県指定建造物、蒲生秀行の墓,今日に至る会津の姿の創設者ともいえる会津領主 蒲生氏郷 の嫡男、蒲生秀行の墓料です。蒲生秀行は蒲生氏郷と織田信長の娘とのあいだに1583年に生まれ、文禄4年（1595年）、父・氏郷が急死したために会津92万石を継いでいます。その後、豊臣秀吉の命令で宇都宮に18万石で移封されていますが、関ヶ原の合戦での功績などが徳川家康に評価されて、慶長3年（1601）再び会津60万石に復帰しています。慶長17年（1612）5月、30歳の若さでこの世を去り、この地に眠っています。県指定建造物、市指定史跡にもなっています。,中心市街地エリア（会津若松駅・鶴ヶ城）,965-0835,福島県会津若松市館馬町8,,,,,,,,,,,,37.48068,139.921076
天寧寺町土塁（国指定史跡）,テンネイジマチドルイ,https://www.aizukanko.com/spot/146,若松城の改築に着手した際に築造されたとされる若松城の追手として最重要点。, この土塁は蒲生氏郷が会津に入部し文禄元年(１５９２年)若松城の改築に着手した際に築造されたとされ、若松城の追手として最重要点でした。また、外郭と内郭を区画した若松城の土塁の遺構で市内に現存するものはわずかであり、貴重なものです。｢甲賀町口門跡｣、｢天寧寺町土塁｣、｢三の丸堀跡｣の三ヵ所が国指定史跡若松城跡として追加指定を受けました。春になるといち早く桜が咲き誇り、通りを通る人々の目を楽しませるスポットです。,中心市街地エリア（会津若松駅・鶴ヶ城）,965-0804,福島県会津若松市花春町,,,,,,,ハイカラさん・あかべぇ「小田垣」下車、徒歩3分,,,,,37.49077,139.940999
直江兼続屋敷跡・山鹿素行生誕地,ナオエカネツグヤシキアト・ヤマガソコウタンジョウノチ,https://www.aizukanko.com/spot/224,上杉景勝の執政「直江兼続」と江戸時代の代表的兵学者「山鹿素行」ゆかりの地,蒲生時代からの一等地で、上杉景勝の執政 直江兼続もここに住まいしていました。関ヶ原の戦い後、上杉家は米沢に移されました。また、後に江戸時代の代表的兵学者、山鹿素行が生まれた場所でもあります。素行の誕生地を記念した碑石は地元の自然石で「山鹿素行誕生地　大正15年春　元帥伯爵東郷平八郎書」と雄渾な文字が刻まれています。素行は幕末の思想家達に与えた影響も大きく、また討ち入りで有名な赤穂義士を教育した人物でもあります。,,965-0876,福島県会津若松市山鹿町1-25,,,,,,,路線バス「鶴ヶ城西口」下車、まちなか周遊バス　ハイカラさん・あかべぇ「鶴ヶ城入口」下車、徒歩10分,,,,,37.490577,139.926564
長岡藩士殉節の碑,ナガオカハンシジュンセツノヒ,https://www.aizukanko.com/spot/225,戊辰戦争で戦死した長岡藩藩士山本帯刀隊長以下44名を弔う殉節の碑,戊辰戦争時、長岡城落城後、長岡藩藩士山本帯刀を隊長とする一隊は八十里峠の難関を越えて会津に入り奮戦しました。しかし早朝の濃霧の中飯寺河原で新政府軍に包囲され、隊長以下44名が戦死しました。明治23年村民が供養の碑を建てて霊を弔いましたが、その後昭和31年会津史談会が新たに殉節の碑を建てて供養しました。長岡藩士殉節のある本光寺は来迎山と号し、天平12年（740）開基、開山は行基菩薩と伝えられています。,中心市街地エリア（会津若松駅・鶴ヶ城）,965-0846,福島県会津若松市門田町飯寺村東,0242-26-2813,本光寺,,,,,路線バス「飯寺」下車、徒歩5分 ,,,,,37.474875,139.904623
花見ヶ森廟所,ハナミガモリビョウショ,https://www.aizukanko.com/spot/142,葦名三代が眠ります・・・,会津の中世を400年にわたって支配していた葦名家三代の廟所です。奥州を代表する戦国大名になった名君16代盛氏、葦名家の全盛期を築き上げた名君17代盛興、若いながら優れた武将と誉れ高い18代盛隆との三基並んだ五輪塔で、空風火水地の五文字が刻されています北側にもう一つの墓（氏名未詳）がありますが、この辺は「花見ヶ丘森廟」と呼ばれ、葦名氏11代〜19代の墓地だったと思われます。またこの南の小田山中には3代〜9代の墓があって「寿山廟」と呼ばれていましたが、現在はよく判りません。,中心市街地エリア（会津若松駅・鶴ヶ城）,965-0822,福島県会津若松市花見ヶ丘2丁目,,,,,,,路線バス「花見ヶ丘」から徒歩10分,,,,,37.485256,139.94421
田中玄宰の墓,タナカハルナカノハカ,https://www.aizukanko.com/spot/205,会津藩家老で三代の藩主に仕えた名宰相が眠ります・・・,会津藩家老で三代の藩主に仕えた名宰相。34歳で家老に任じられた際、会津藩は天明の大飢饉でした。玄宰は藩主容頌に領民の救済と藩政の改革を願い出たが受け入れられず、一時病と称して辞職。その間兵学や経済について研究し、一年後復権の際に藩政の大改革「天明の改革」を提言し大きな成果をあげました。また、藩校「日新館」を創設、会津藩が文武ともに天下の雄藩となる基礎を築きました。会津藩樺太出兵の最中、61歳でこの世を去りました。「わが骨は鶴ヶ城と日新館の見えるところに埋めよ」と遺言し、墓はそれらの見渡せる小田山の山頂にあります。,中心市街地エリア（会津若松駅・鶴ヶ城）,965-0822,福島県会津若松市花見ヶ丘三丁目,,,,,,,路線バス「花見ヶ丘」下車、徒歩20分,,,,,37.479882,139.944111
佐川官兵衛顕彰碑,サガワカンベエケンショウヒ,https://www.aizukanko.com/spot/43,戊辰戦争を戦い抜き、その戦いぶりから「鬼官兵衛」の異名をとった会津藩士,佐川官兵衛は天保2年（1831年）生まれ。明治10年（1877)没。文武両道に秀で、会津藩京都守護職時代には学校奉行・別選組隊長・諸生組隊長を兼ね、「鬼佐川」「鬼官兵衛と呼ばれていました。鳥羽伏見の戦いで奮戦、戊辰戦争の北越戦では会津軍指揮として、長岡藩河井継之助らと共に各地に転戦。戦後明治7年に警視庁の巡査に応募、明治10年の西南戦争には警視隊隊長として参戦し黒川村で戦死しました。この顕彰碑は平成13年に建立。西南戦争で佐川官兵衛が戦死した地である、熊本県南阿蘇村よりゆかりの大石を譲り受けて建立されたものです。,中心市街地エリア（会津若松駅・鶴ヶ城）,965-0807,福島県会津若松市城東町,,,,,,,,,,,,37.486827,139.933891
多門院毘沙門天像 ,タモンインビシャモンテンゾウ,https://www.aizukanko.com/spot/215,洪水で流れついたと伝えられる毘沙門天像,洪水のとき流れつき、昆沙門洞の湧水にうかびあがっていたのを多門院中興の僧本行が拾いあげ、本堂に安置したものと伝えられています。 高さは1m程の寄木造りで、布張に漆をかけ、金箔をおいた極彩色のこの像は、江戸時代の作と推定されています。,,965-0135,福島県会津若松市北会津町寺堀字四百苅,0242-58-2211,会津若松市北会津支所,,,,,(車)磐越自動車道、会津若松ＩＣから約２５分,,,,,37.490319,139.867287
